country_code,country,year,emissions_mtco2e
EUU,European Union,2021,785.63
WLD,World,2021,7835.1
EUU,European Union,2020,718.72
WLD,World,2020,7279.08
EUU,European Union,2019,832.85
WLD,World,2019,8493.2
EUU,European Union,2018,826.09
WLD,World,2018,8482.41
EUU,European Union,2017,826.52
WLD,World,2017,8282.11
EUU,European Union,2016,811.27
WLD,World,2016,8085.22
EUU,European Union,2015,791.97
WLD,World,2015,7932.04
EUU,European Union,2014,777.16
WLD,World,2014,7692.2
EUU,European Union,2013,769.98
WLD,World,2013,7565.61
EUU,European Union,2012,777.77
WLD,World,2012,7373.68
EUU,European Union,2011,808.58
WLD,World,2011,7312.02
EUU,European Union,2010,814.45
WLD,World,2010,7194.97
EUU,European Union,2009,820.82
WLD,World,2009,6902.68
EUU,European Union,2008,847.57
WLD,World,2008,7043.86
EUU,European Union,2007,864.34
WLD,World,2007,7037.75
EUU,European Union,2006,855.25
WLD,World,2006,6824.59
EUU,European Union,2005,843.0
WLD,World,2005,6668.77
EUU,European Union,2004,844.75
WLD,World,2004,6523.91
EUU,European Union,2003,824.84
WLD,World,2003,6235.37
EUU,European Union,2002,810.54
WLD,World,2002,6107.31
EUU,European Union,2001,802.36
WLD,World,2001,5951.27
EUU,European Union,2000,787.8
WLD,World,2000,5920.99
EUU,European Union,1999,788.02
WLD,World,1999,5738.37
EUU,European Union,1998,770.01
WLD,World,1998,5573.93
EUU,European Union,1997,740.28
WLD,World,1997,5447.39
EUU,European Union,1996,728.79
WLD,World,1996,5369.2
EUU,European Union,1995,705.58
WLD,World,1995,5159.0
EUU,European Union,1994,696.76
WLD,World,1994,5021.4
EUU,European Union,1993,692.1
WLD,World,1993,4923.08
EUU,European Union,1992,686.95
WLD,World,1992,4880.1
EUU,European Union,1991,668.58
WLD,World,1991,4771.95
EUU,European Union,1990,660.03
WLD,World,1990,4733.58
